86 688 54159
113 14 6 1.0
247 31 35 1.0
232 29 39 1.0
142 18 20 1.0
474 60 57 1.0
666 84 78 1.0
165 21 18 1.0
685 85 82 1.0
679 0 6 1.0
264 33 41 1.0
184 23 35 1.0
162 21 15 1.0
550 69 68 1.0
512 64 75 1.0
51 7 2 1.0
324 41 38 1.0
200 25 35 1.0
132 17 18 1.0
371 47 44 1.0
645 81 82 1.0
662 83 82 1.0
463 58 63 1.0
518 65 69 1.0
258 33 29 1.0
332 42 38 1.0
82 11 8 1.0
286 36 41 1.0
347 44 45 1.0
574 72 76 1.0
328 41 48 1.0
590 74 76 1.0
488 61 64 1.0
289 36 29 1.0
60 8 11 1.0
59 8 10 1.0
150 19 20 1.0
503 63 62 1.0
175 22 28 1.0
543 68 70 1.0
678 0 5 1.0
507 64 66 1.0
327 41 42 1.0
579 73 72 1.0
223 28 27 1.0
671 84 83 1.0
447 56 55 1.0
444 56 52 1.0
168 21 22 1.0
589 74 75 1.0
287 36 42 1.0
427 54 51 1.0
665 83 73 1.0
496 62 69 1.0
170 22 23 1.0
118 15 20 1.0
633 79 72 1.0
375 47 49 1.0
668 84 80 1.0
319 40 42 1.0
134 17 20 1.0
159 20 21 1.0
464 58 66 1.0
530 67 64 1.0
399 50 56 1.0
610 77 71 1.0
57 7 0 1.0
392 49 56 1.0
486 61 62 1.0
192 24 34 1.0
353 44 36 1.0
386 49 43 1.0
70 9 13 1.0
217 27 20 1.0
224 28 33 1.0
199 25 28 1.0
235 30 31 1.0
169 21 13 1.0
397 50 54 1.0
552 69 77 1.0
599 75 77 1.0
55 7 6 1.0
83 11 9 1.0
672 84 85 1.0
527 66 70 1.0
554 70 64 1.0
684 85 81 1.0
577 72 64 1.0
218 28 22 1.0
535 67 70 1.0
194 25 22 1.0
483 61 58 1.0
436 55 52 1.0
596 75 73 1.0
144 18 26 1.0
297 37 32 1.0
249 31 27 1.0
73 9 1 1.0
409 51 45 1.0
295 37 42 1.0
191 24 28 1.0
450 57 58 1.0
626 79 78 1.0
88 11 16 1.0
130 17 15 1.0
143 18 21 1.0
221 28 25 1.0
273 34 27 1.0
204 26 24 1.0
646 81 83 1.0
274 35 29 1.0
293 37 40 1.0
